
VERSION 1
1) C
2) D
3) D
4) A
5) C
6) C
7) E
8) D
9) C
10) C
11) B
12) A
13) C
14) E
15) B
16) D
17) C
18) D
19) D
20) B

VERSION 2
1) B
2) C
3) A
4) C
5) A
6) C
7) A
8) C
9) D
10) C
11) C
12) A
13) B
14) E
15) D
16) D
17) C
18) D
19) C
20) D

VERSION 3
1) C
2) D
3) C
4) D
5) C
6) E
7) C
8) E
9) C
10) D
11) A
12) B
13) A
14) C
15) C
16) C
17) B
18) C
19) D
20) B

VERSION 4
1) A
2) A
3) B
4) C
5) D
6) D
7) E
8) C
9) A
10) C
11) C
12) C
13) A
14) D
15) E
16) C
17) E
18) A
19) C
20) B

VERSION 5
1) B
2) C
3) C
4) D
5) C
6) B
7) D
8) D
9) C
10) C
11) B
12) C
13) E
14) B
15) A
16) C
17) C
18) C
19) C
20) A

VERSION 6
1) A
2) E
3) C
4) C
5) A
6) A
7) A
8) C
9) C
10) D
11) B
12) C
13) B
14) A
15) C
16) D
17) C
18) C
19) C
20) D

VERSION 7
1) A
2) C
3) C
4) D
5) B
6) C
7) A
8) B
9) C
10) C
11) C
12) D
13) E
14) C
15) A
16) C
17) D
18) E
19) B
20) B

VERSION 8
1) A
2) C
3) B
4) E
5) C
6) A
7) D
8) C
9) B
10) C
11) A
12) D
13) D
14) C
15) D
16) C
17) A
18) E
19) C
20) B
