
VERSION 1
1) B
2) A
3) B
4) B
5) B
6) B
7) D
8) B
9) B
10) A
11) C
12) D
13) C
14) B
15) A
16) B
17) C
18) B
19) B
20) D

VERSION 2
1) A
2) A
3) B
4) C
5) B
6) B
7) D
8) B
9) B
10) B
11) C
12) D
13) C
14) B
15) D
16) A
17) B
18) B
19) B
20) B

VERSION 3
1) C
2) B
3) A
4) A
5) B
6) D
7) B
8) B
9) B
10) B
11) D
12) C
13) B
14) B
15) C
16) B
17) D
18) B
19) B
20) A

VERSION 4
1) B
2) B
3) C
4) C
5) A
6) B
7) D
8) B
9) D
10) C
11) A
12) B
13) D
14) B
15) B
16) B
17) B
18) B
19) B
20) A

VERSION 5
1) E
2) B
3) A
4) B
5) B
6) B
7) A
8) A
9) B
10) B
11) C
12) B
13) A
14) B
15) A
16) C
17) C
18) B
19) B
20) B

VERSION 6
1) E
2) A
3) A
4) C
5) B
6) B
7) A
8) B
9) B
10) B
11) B
12) B
13) C
14) B
15) C
16) A
17) B
18) B
19) B
20) A

VERSION 7
1) B
2) B
3) B
4) A
5) B
6) A
7) B
8) B
9) B
10) C
11) B
12) B
13) C
14) B
15) A
16) B
17) A
18) A
19) E
20) C

VERSION 8
1) B
2) B
3) B
4) C
5) B
6) A
7) B
8) B
9) C
10) B
11) B
12) B
13) A
14) C
15) A
16) A
17) E
18) A
19) B
20) B
